Lambaste,attack verbally
aberration,straying away from what is normal
abhor,to hate; to detest
abide,be faithful; to endure
abscond,to go away suddenly (to avoid arrest)
abstruse,difficult to comprehend; obscure
abysmal,extreme bad
acclaimed,welcomed with shouts and approval
accolade,praise; approval
acumen,Keen, quick, accurate insight or judgment"
adorn,add beauty; decorate
adulteration,making unpure; poorer in quality
affable,polite and friendly
affinity,close connection; relationship
aggravate,make worse; irritate
agile,active; quick-moving
ail,to cause pain, uneasiness, or trouble to."
allegiance,duty support loyalty
alleviate,make (pain) easier to bear
alloy,to debase by mixing with something inferior
amalgamate,mix; combine; unite societies
ambidextrous,able to use the left hand or the right equally well
ambiguous,doubtful; uncertain
ambivalent,having both of two contrary meanings
ameliorate,improve; make better
anguish,severe suffering
animosity,strong dislike
antidote,medicine used against a poison or a disease
apartheid,brutal racial discrimination
appease,make quiet or calm
apt,well-suited; quick-witted
arcane,known or understood by very few
arrogance,proud; superior manner of behaviour
articulate,speak distinctly; connect by joints
ascend,go or come up
asterisk,the mark * (e.g.. omitted letters)
audacious,Bold
auxiliary,helping; supporting
beguile,mislead or delude; cheat; pass time
benefactor,person who has given help
bewilder,puzzle; confuse
bogus,sham; counterfeit; not genuine
boisterous,noisy; restraint
braggart,boastful
brass,yellow metal (mixing copper and zinc)
brittle,easily broken
buoyant,able to float; light-hearted
calipers,metal supports attached to the legs measuring instrument
catalyst,substance that causes speeding up
centurion,leader of a unit of 100 soldiers
chisel,steel tool for shaping materials
chortle,loud chuckle of pleasure or amusement
clientele,customers
clot,half-solid lump formed from liquid
coagulation,change to a thick and solid state
colloquial,involving or using conversation.
combustion,process of burning
commemorate,keep the memory of
commuter,person who travels regularly
complaisant,trying to please; obliging
conceal,hide keep secret
concur,agree in opinion happen together
conjoin,to join together
connoisseur,a person with good judgement (e.g.. in art)
connote,Suggest or imply in addition to the precise, literal meaning"
console,give comfort or sympathy to
constrict,make tight or smaller
cordial,warm and sincere
correlate,have a mutual relation
cryptic,secret with a hidden meaning
cumbersome,burdensome; heavy and awkward to carry
curriculum,course of study
dangle,hand or swing loosely
defer,postpone
derivative,unoriginal; obtained from another source
dexterity,skill (esp. in handling)
disallow,refuse to allow or accept as a correct
dislodge,move force from the place occupied
disproof,proof to the contrary
disrobe,undress
divergence,getting farther apart from a point
dormant,in a state of inactivity but awaiting development
dote,show much fondness center one's attention
drowsiness,feeling sleepy half asleep
dullard,a stupid, insensitive person"
dupe,cheat make a fool of
dwarf,person much smaller the usual size
edible,fit to be eaten/not poisonous
edify,instruct; correct morally
elaborate,worked out with much care in great detail
eloquence,fluent speaking skillful use of language
embezzle,use in a wrong way for one's own benefit
encapsulate,enclose in capsule
endeavor,to make an effort, to try very hard"
endorse,write one's name on the back of
enduring,lasting
engulf,swallow up
enigma,something that is puzzling
entice,attract, lure"
enzyme,catalyst
equilibrium,state of being balanced
eradicate,get rid of pull up by the roots
erratic,irregular in behaviour or opinion
eulogy,formal praise panegyric
euphoria,elation state of pleasant excitement
evasive,tending to evade
evoke,call up bring out
extinct,no longer active
extinguish,end the existence of/wipe or put out
extralegal,outside the law
fidelity,loyalty accuracy
fission,splitting or division (esp. of cells)
fleet,number of ships; quick-moving
flimsy,lacking solidarity, strength"
flop,fail/move/fall clumsily
foolproof,incapable of failure or error
forgery,counterfeit
foster,nurture; care for
fragile,easily injured broken or destroyed
fragrant,sweet-smelling
gait,a manner of walking, stepping, or running"
gallant,brave,behaves well with women"
garrulous,too talkative
gerontocracy,government ruled by old people
grievous,causing grief or pain; serious dire grave
grumble,to complain
gullible,easily gulled
heterogeneous,made up of different kinds
hospitable,liking to give hospitality
hypocrisy,falsely making oneself appear to be good
immutable,that cannot be changed
impede,hinder; get in the way of
impermeable,that cannot be permeated
implicit,implied though; not plainly expressed
implosion,collapse; bursting inward
impromptu,without preparation
inclined,directing the mind in a certain direction
incongruous,out of place; not in harmony or agreement
indigenous,native
indistinct,not easily heard; seen clearly marked
indulgent,inclined to indulge
infuriate,fill with fury or rage
ingest,take in by swallowing
inquest,Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death"
introspection,examining one's own thoughts and feelings
introvert,one who turns towards himself
invincible,too strong to be defeated
jabber,talk excitedly; utter rapidly
judicious,sound in judgment; wise
knit,draw together; unite firmly
lampoon,publicly mock or ridicule
legacy,Bequest or inheritance
liberality,free giving; generosity
limp,lacking strength; walking unevenly
livid,Furiously angry, enraged"
loll,rest to sit or stand in a lazy way hang (dog's tongue)
luminary,star; light-giving body
malevolent,malicious; evil; having or showing ill will
malleable,yielding easily shaped; moldable; adapting
massacre,cruel killing of a large number of people
mesmerize,hypnotize
meticulous,giving great attention to details
misanthrope,person who hates mankind
mischievous,harmful; causing mischief
misogynist,one who hates women/females
mite,A very small amount, portion, or particle"
moderation,quality of being limited; not extreme
moribund,in a dying state; near death
narcissism,Self-love
negligent,taking too little care
nihilism,total rejection of all religious and moral beliefs
odor,smell
offhand,Without preparation or forethought
opaqueness,dullness/not allowing light to pass through
ossified,turned to bone; hardened like bone; Inflexible
paradigm,a model example or pattern
parenthesis,sentence within another one something separated
partisan,one-sided committed to a party biased or prejudiced
patron,regular customer person who gives support
perish,be destroyed decay
perjury,willful FALSE statement unlawful act
permeate,spread into every part of
pertain,belong as a part have reference
pest,destructive thing or a person who is nuisance
philanthropist,one who loves mankind
pilferer,to steal, especially in small quantities"
pivotal,of great importance (others depend on it)
plea,request
pluck,pull the feathers off pick (e.g.. flowers)
poseur,a person who attempts to impress by acting unlike himself
